,,
Question,Answer,Difficulty
Is saltwater a homogeneous mixture/ heterogeneous mixture/ compound/ or an element?,Homogeneous Mixture,Easy
Is salt a homogeneous mixture/ heterogeneous mixture/ compound/ or an element?,Compound,Easy
Is pizza a homogeneous mixture/ heterogeneous mixture/ compound/ or an element?,Heterogeneous Mixture,Easy
Is oxygen gas a homogeneous mixture/ heterogeneous mixture/ compound/ or an element?,Element,Easy
What is the atomic symbol of Hydrogen?,H,Easy
What is the atomic symbol of Carbon?,C,Easy
What is the atomic symbol of Helium?,He,Easy
What is the atomic symbol of Nitrogen?,N,Easy
What is the atomic symbol of Oxygen?,O,Easy
What is the atomic symbol of Fluorine?,F,Easy
What is the atomic symbol of Neon?,Ne,Easy
What is the atomic symbol of Sodium?,Na,Easy
What is the atomic symbol of Magnesium?,Mg,Easy
What is the atomic symbol of Silicon?,Si,Easy
What is the atomic symbol of Sulfur?,S,Easy
What is the atomic symbol of Chlorine?,Cl,Easy
What is the atomic symbol of Potassium?,K,Easy
What is the atomic symbol of Calcium?,Ca,Easy
What is the atomic symbol of Iron?,Fe,Easy
What is the atomic symbol of Copper?,Cu,Easy
What is the atomic symbol of Silver?,Ag,Easy
What is the atomic symbol of Gold?,Au,Easy
What is the atomic symbol of Lead?,Pb,Easy
Is the melting point of an element a physical or chemical property?,Physical,Easy
Is the melting point of an element an intensive or extensive property?,Intensive,Easy
Is the mass of an element a physical or chemical property?,Physical,Easy
Is the mass of an element an intensive or extensive property?,Extensive,Easy
Is the flammability of an element a physical or chemical property?,Chemical,Easy
Is the flammability of an element a physical or chemical property?,Intensive,Easy
How many significant figures are there in the number 5.40?,3,Easy
How many significant figures are there in the number 210?,2,Easy
How many significant figures are there in the number 801.5?,4,Easy
How many significant figures are there in the number 1000?,1,Easy
How many significant figures are there in the number 101.0100?,7,Easy
How many significant figures are there in the number 1.240?,4,Easy
How many significant figures are there in the number 0.00120?,3,Easy
How many significant figures are there in the number 0.0102?,3,Easy
How many significant figures are there in the number 9.010?,4,Easy
How many significant figures are there in the number 2370.0?,5,Easy
Round 1566311 to 3 significant digits,1570000,Easy
Round 84592 to 3 significant digits,84600,Easy
Round 0.07799 to 3 significant digits,0.078,Easy
Round 2.7651 to 3 significant digits,2.77,Easy
Round 0.0011672 to 3 significant digits,0.00117,Easy
Round 670732 to 3 significant digits,671000,Easy
Calculate the following using the correct amount of significant figures: 32.567 + 135.0 + 1.4567,169,Easy
Calculate the following using the correct amount of significant figures: 246.24 + 238.278 + 98.3,582.8,Easy
Calculate the following using the correct amount of significant figures: 658.0 + 23.5478 + 1345.29,2026.8,Easy
Calculate the following using the correct amount of significant figures: 274.33 - 198.2,76.1,Easy
Calculate the following using the correct amount of significant figures: 52.4 - 43.78,8.6,Easy
Calculate the following using the correct amount of significant figures: 1300 - 45,1255,Easy
Calculate the following using the correct amount of significant figures: 23.7 * 3.8,90,Easy
Calculate the following using the correct amount of significant figures: 43.478 * 64.1,2790,Easy
Calculate the following using the correct amount of significant figures: 45.76 * 0.25,11,Easy
Calculate the following using the correct amount of significant figures: 1.678 / 0.42,4,Easy
Calculate the following using the correct amount of significant figures: 81.04 * 0.010,0.81,Easy
Calculate the following using the correct amount of significant figures: 28.367 / 3.74,7.58,Easy
Calculate the following using the correct amount of significant figures: 6.47 * 64.5,417,Easy
Calculate the following using the correct amount of significant figures: 4278 / 1.006,4252,Easy
Express 123876.3 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),1.238763 * 10^5,Easy
Express 1236840 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),1.23684 * 10^6,Easy
Express 422000 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),4.22 * 10^5,Easy
Express 0.00000211 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),2.11 * 10^-6,Easy
Express 0.000238 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),2.38 * 10^-4,Easy
Express 0.00002050 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),2.050 * 10^-5,Easy
Express 79030.0 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),7.90300 * 10^4,Easy
Express 40000000 in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),4 * 10^7,Easy
Express (8.41 * 10^4) + (9.71 * 10^4) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),1.812 * 10^5,Easy
Express (5.11 * 10^2) - (4.2 * 10^2) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),9.1 * 10,Easy
Express (8.2 * 10^3) + (4.0 * 10^5) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),4.082 * 10^5,Easy
Express (6.3 * 10^-2) - (2.1 * 10^-3) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),6.1 * 10^-2,Easy
Express (3.56 * 10^5)(4.21 * 10^6) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),1.50 * 10^12,Easy
Express (2 * 10^7)(8 * 10^-9) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),2 * 10^-1,Easy
Express (4.11 * 10^-6)(7.51 * 10^-4) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),3.09 * 10^-9,Easy
Express (8.45 * 10^7)/(6.74 * 10^3) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),1.25 * 10^4,Easy
Express (9.7 * 10^8)/(8.6 * 10^-2) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),1.1 * 10^10,Easy
Express (4.7 * 10^-2)/(5.7 * 10^-6) in its equivalent standard scientific notation form (Ex: 1.3 * 10^-5),8.2 * 10^3,Easy
The moon is 250000 miles away. How many feet (ft) is it from earth (use scientific notation)?,1.3 * 10^9 ft,Easy
How many seconds (sec) are there in 1.5 years (use scientific notation)?,4.7 * 10^7 sec,Easy
The average American student is in class 330. minutes/day. How many hours (hrs)/week is this (assume a week is 7 days)?,38.5 hrs/week,Easy
Lake Michigan holds 1.3 * 10^15 gallons of water. How many cubic meters (m^3) is this (use scientific notation)?,4.9 * 10^12 m^3,Hard
A gas station is charging $1.29 per gallon of gas. What would the price for a liter of gas be?,$0.34,Easy
If you have a 14 K gold necklace that weighs 8.53 g and gold sells for $1320.00 per oz how much money could you make if you sold the necklace?,$230.00,Hard
What is the volume in quarts (qt) of 1.50 kg of ethanol?,2.02 qt,Easy
If a newborn baby weighs 7.0 lbs / 8.0 ozs how many mg does s/he weigh (use scientific notation)?,3.4 * 10^6 mg,Easy
The venom of the Gaboon viper(Bitis gabonica) is a cytotoxin that causes necrosis(early cell death). The lethal dose of this venom for mice is around 2.5 mg of venom per 1.0 kg of mice. If an average bite from this snake injects 4.0 x 102 mg of venom how many mice could be killed from one bite if each mouse has a mass of 12 grams (use scientific notation)?,1.3 * 10^4 mice,Hard
The kidneys filter about 1.6 x 105 mL of blood per day. If a gallon of blood weighs 8.85 lbs how many kilograms of blood are filtered by the kidneys in 5.0 years (use scientific notation)?,3.1 * 10^5 kg,Hard
A pizza oven is heated by burning wood. Each pound (1.0) of wood (when burned) produces about 2.6 lbs of carbon dioxide. If the pizza shop produces 52 pizzas by using 40.0 lbs of wood how many m^3 of CO2 are released into the atmosphere to create each pizza if 1.0 kg of CO2 occupies 510 L (use scientific notation)?,4.6 * 10^-1 m^3,Hard
If an air conditioner circulates 550 L of air every 35 minutes how many days would it take to circulate all of the air in a 1200 m^3 room (use scientific notation)?,5.3 * 10^1 days,Hard
A leaky faucet drips 1.0 drops of water every 15 seconds. If one drop of water has a volume of 0.050 mL how many days would it take to fill a plugged-up sink measuring 9.45 x 10^2 in^3 (use scientific notation)?,5.4 * 10^1 days,Hard
What is the distance(mi) between Earth and Mars when both of these planets are in line with each other and on the same side of the sun if it takes 12.6 min for light traveling from the sun to reach Mars and 8.0 min for light traveling from the sun to reach Earth (use scientific notation)?,5.0 * 10^7 mi,Hard
A stack of paper measuring 5.2 inches thick has a mass of 9.1 kg. If each sheet of paper has a mass of 0.16 oz how thick is one piece of paper measured in mm (use scientific notation)?,6.6 * 10^-2 mm,Hard
An aquarium with a length of 48.3 in a width of 12.8 in and a height of 20.2 in is filled with 40.0 gal of water. This amount of water does not fill the aquarium to the top. How many grams (g) of sand would you need to add to the aquarium to allow this volume of water to rise exactly to the top of the aquarium if 1.0 g of sand has a volume of 0.65 cm^3 (use scientific notation)?,8.2 * 10^4 g,Hard
